Web,Piso,Provincia,Año_actualizacion,Cod_tel,TipoLatitudLongitud,Subcategoria,Observacion,Mail,Cod_Loc,Tipo_gestion,Departamento,año_inicio,Categoría,Longitud,Localidad,CP,Información adicional,Latitud,Teléfono,Fuente,IdProvincia,Nombre,Domicilio,IdDepartamento,categoria
,,San Juan,2018,s/d,Localización precisa,,,s/d,70049060,Comunitaria,Iglesia,1930,Bibliotecas Populares,-69.130117,Rodeo,5465,,-30.20925,s/d,CONABIP,70,Biblioteca Popular Juan P. Garramuno,Santo Domingo,70049,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,asociacionroffo@yahoo.com.ar,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1916,Bibliotecas Populares,-58.49469,Ciudad de Buenos Aires,C1417EUD,,-34.598461,45010078,CONABIP,2,Biblioteca Popular Helena Larroque de Roffo,Simbrón 3058,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,popular12deoctubre@hotmail.com,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1910,Bibliotecas Populares,-58.448997,Ciudad de Buenos Aires,C1405CYM,,-34.613235,49880766,CONABIP,2,Biblioteca Popular 12 de Octubre,Calle Arengreen 1187,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,bibliotecapueyrredon@hotmail.com,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1916,Bibliotecas Populares,-58.501591,Ciudad de Buenos Aires,C1419FMD,,-34.57589,45729107,CONABIP,2,Biblioteca Popular Villa Pueyrredón Norte,Cockrane 2334,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,bibliotecapopularalberdi@yahoo.com.ar,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1910,Bibliotecas Populares,-58.437668,Ciudad de Buenos Aires,C1414DJN,,-34.596157,47753325,CONABIP,2,Biblioteca Popular Alberdi,Acevedo 666,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,s/d,Localización precisa,,,s/d,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1930,Bibliotecas Populares,-58.489941,Ciudad de Buenos Aires,1431,,-34.574226,s/d,CONABIP,2,Biblioteca Popular Domingo Faustino Sarmiento,Bucarelli 2583,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,bibliotecacsaavedra@yahoo.com,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1918,Bibliotecas Populares,-58.472504,Ciudad de Buenos Aires,C1429DED,,-34.549038,47015180,CONABIP,2,Biblioteca Popular Cornelio Saavedra,García del Río 2735/37,2000,bibliotecas
,,Ciudad Autónoma de Buenos Aires,2018,11,Localización precisa,,,bibliotecajerodo@yahoo.com.ar,2000010,Comunitaria,Ciudad Autonoma de Buenos Aires,1917,Bibliotecas Populares,-58.509514,Ciudad de Buenos Aires,C1440ENO,,-34.660057,46865631,CONABIP,2,Biblioteca Popular José Enrique Rodo,Andalgalá 2051,2000,bibliotecas
,,Buenos Aires,2018,2281,Localización precisa,,,bibliotecaronco@ceal.com.ar,6049020,Comunitaria,Azul,1892,Bibliotecas Populares,-59.874633,Azul,B7300GEM,,-36.78765,424409,CONABIP,6,Biblioteca Popular Bartolomé J. Ronco,Burgos 687,6049,bibliotecas
,,Buenos Aires,2018,2354,Localización precisa,,,bibliotecapopular@live.com,6462040,Comunitaria,Leandro N. Alem,1916,Bibliotecas Populares,-61.810322,Juan Bautista Alberdi,6034,,-34.440804,480800,CONABIP,6,Biblioteca Popular Domingo Faustino Sarmiento,Quintana,6462,bibliotecas
