latitud,direccion,anio_de_inauguracion,provincia,web,espacio_cultural_id,fuente,observaciones,provincia_id,descripcion_de_patrimonio,localidad_id,codigo_postal,juridisccion,anio_de_creacion,mail,localidad,nombre,telefono,codigo_indicativo_telefono,longitud,categoria
-34.7482,Medrano 165,1992,Buenos Aires,,300052,DNPyM,Código en Lomas de Zamora,6,"Obras de Pío Collivadino, de 1896 a 1945: óleos, dibujos, acuarelas, grabados, escenografías.",6490010,B1828IPC,Nacional,1892,,Banfield,Museo De Artes Plásticas Pío Collivadino,42025223,11,-58.3946,museos
-34.66211,"Sarmiento 101, 1 º Piso",1956,Buenos Aires,,300042,DNPyM,,6,"Pinturas, dibujos, grabados, esculturas, fotografías vinculadas en su mayoría al riachuelo y a la ciudad de Avellaneda",6035010,B1870CBC,Municipal,1909,,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,42059567,11,-58.36327,museos
-34.7192,Rivadavia 498,1975,Buenos Aires,,300645,DNPyM,,6,"Pinturas, esculturas, grabados, dibujos, principalmente de artistas argentinos, desde fines del siglo XIX hasta nuestros días.",6658010,B1878KJJ,Municipal,1969,,Quilmes,Museo De Artes Visuales Víctor E. Roverano,42245336,11,-58.2517,museos
-34.7123,25 de Mayo 198,,Buenos Aires,,300067,DNPyM,Código en Quilmes,6,"Las colecciones tienen su origen en donaciones de los vecinos de la zona y estas constan de pinturas, esculturas y grabados de artistas locales. Objetos históricos del siglo XIX, relacionados con las invasiones inglesas, el combate de Quilmes, etc.",6658010,B1876AWD,Municipal,,,Bernal,Museo Municipal Histórico Regional Almirante Brown,42525508,11,-58.2849,museos
-34.712406,25 de Mayo 218 Este / Lavalle y Brown,1990,Buenos Aires,,300646,DNPyM,,6,"Fotografías relacionadas con la historia de la fotografía y con la vida y desarrollo de la ciudad de Quilmes, desde fines del siglo pasado hasta la fecha. Máquinas fotográficas y accesorios de principio de siglo.",6658010,B1878JZF,Municipal,,,Quilmes,Museo Municipal Histórico Fotográfico De Quilmes Gerónima Irma Giles Y Gaetano De Mayol,42539162,11,-58.285194,museos
-34.749,Laprida y Ricardo Rojas,1967,Buenos Aires,,300644,DNPyM,,6,"Posee una colección de carruajes con modelos datan de los años 1860 a 1900 aproximadamente. Todos los elementos necesarios para atender al personal, los carruajes y los caballos.",6658010,B1879BTQ,Municipal,1909,,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,42805488,11,-58.2732,museos
-34.813,"Deán Gregorio Funes 1221, B° la Morita",1984,Buenos Aires,,300568,DNPyM,Código en Esteban Echeverría,6,"Elementos relacionados con Esteban Echeverría, documentos, muebles, fotografías. Ciencias naturales, arqueología, paleontología de la zona.",6260010,1842,Municipal,1974,,Monte Grande,Museo Histórico Municipal La Campana,42900437,11,-58.4584,museos
-34.7918,Colón 581,1986,Buenos Aires,,300070,DNPyM,Código en Almirante Brown,6,Esculturas de diferentes artistas nacionales y extranjeros contemporáneos.,6028010,B1852BSE,Privada,1985,,Burzaco,Museo Claudio León Sempere,42997279,11,-58.3503,museos
-34.4705,Rivera Indarte 48,1948,Buenos Aires,,300786,DNPyM,,6,"Mobiliario, platería, porcelana, imaginería correspondientes al siglo XIX. Efectos personales del General Juan Martín de Pueyrredón y de su familia. Historia de San Isidro, desde 1580 hasta 1944. Retratos por Prilidiano Pueyrredón.",6756010,B1642IFB,Municipal,1941,,San Isidro,Museo Histórico Municipal Brig. Gral. Juan M. Pueyrredón,45123131,11,-58.5033,museos
-34.4162,Avda. Liniers y Padre Castañeda,1971,Buenos Aires,,300915,DNPyM,,6,"Documentos de los siglos XIX y XX, armas, mobiliario, medallística, objetos de arte de la época colonial vinculados con la reconquista y defensa de la ciudad de Buenos Aires y con la historia de Tigre. Réplicas de uniformes militares (1806-1826), objetos",6805010,B1648DAP,Municipal,1948,cultura@tigre.gov.ar,Tigre,Museo De La Reconquista,45124496,11,-58.5883,museos
